Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
22000583;AIL EN POUDRE GRANULE         ;3.344;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:11:53
22000830;Olives noires                 ;10.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:18:27
22000090;CAROTTE                       ;10.785;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:18:56
15005105;ELNADER CREV ENTIERE SAUV VRAC;0.646;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:19:11
15005116;ELNADER MERLAN SS TETE VID VRA;6.565;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:19:26
22000104;AIL SEC LOCAL                 ;2.516;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:19:57
31022520;TABUNA SGB501                 ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;;;14/12/2018 ;11:20:40
31019013;ROULEAUX ALUMINIUM  300M      ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;;;14/12/2018 ;11:20:56
11001531;INDUSTRIEL 02 ROULEAUX        ;6.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;;;14/12/2018 ;11:21:08
22001153;ORANGE DE TABLE LOCAL         ;0.238;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/12/2018 ;11:21:38
22000271;FRAISE 1CAT LOCAL             ;0.324;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/12/2018 ;11:22:13
22000293;POMME ROUGR 80                ;0.188;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/12/2018 ;11:22:49
22000311;KIWI IMP 1C                   ;0.216;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/12/2018 ;11:23:24
11001531;INDUSTRIEL 02 ROULEAUX        ;12.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;;;14/12/2018 ;11:24:09
14002092;LAIT EN POUDRE ETUI 500G      ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;14/12/2018 ;11:50:34
14003794;HUILE SAFIA 5L                ;5.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:17:52
14003908;huile dolive vierge extr 50cl;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:17:10
22000113;PERSIL  BOTTE                 ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:12:02
22000090;CAROTTE                       ;23.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:12:13
22000128;SALADE LAITUE                 ;6.100;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:12:31
22000218;CONCOMBRE                     ;14.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:12:43
22000092;TOMATE RONDE 55/65            ;31.200;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:12:54
24000004;CUISSE POULET LS              ;19.300;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:13:09
24000009;ESCALOPE POULET TRAD          ;20.500;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:13:20
15003255;TRANCHE DE MERLAN GM VRAC     ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:13:38
15004904;CREME FRAICHE LIQUIDE 90CL    ;6.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:14:10
14002097;LAIT EN POUDRE SACHET 500G    ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:14:43
15004248;DIOUL PETIT CHEF              ;20.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:15:05
14003527;SEMOULE 02 KG                 ;18.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:15:49
14018907;SUCRE  CRISTALISE DADDY 1 KG  ;50.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:16:12
14012651;RIZ BASMATI ETUI THIKA 500G   ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/12/2018 ;11:16:36
14005627;sucre glace bidon 700gr       ;24.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;14/12/2018 ;11:51:05
