Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14008894;Plume 500 Grs                 ;2.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;36,45;36,45;13/09/2017 ;09:09:36
14001822;MIETTES DE THON A LA TOMATE65G;4.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;117,65;117,65;13/09/2017 ;09:24:11
14002891;Bag En Box 5L                 ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;3200;3191,8289;13/09/2017 ;09:24:30
14007685;RO 160 RICANIAR HUILE         ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;109,24;108,6389;13/09/2017 ;09:24:52
14010656;Concentre de tomate 4/4 22%   ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;116,8;116,7996;13/09/2017 ;09:26:01
14001814;THON ENTIER  A LA TOMATE 65G  ;11.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;147,06;147,06;13/09/2017 ;09:26:51
14003106;THON ISABEL 3X80 T X 30       ;3.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;224,95;224,5171;13/09/2017 ;09:27:29
14003111;THON ISABEL A H 400 GR 24B/CTS;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;375,82;375,1351;13/09/2017 ;09:28:27
14016965;PACK CUBES JUMBO 15+3         ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;89;89;13/09/2017 ;09:29:00
14001814;THON ENTIER  A LA TOMATE 65G  ;5.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;147,06;147,06;13/09/2017 ;09:23:28
14001815;THON ENTIER  A LHUILLE  65G  ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;147,06;147,06;13/09/2017 ;09:22:54
14011744;SPAGHETTI EXTRA 500G          ;3.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;35,5;38,5748;13/09/2017 ;09:16:21
14000232;RIZ BLANC 1KG                 ;3.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;73,39;73,39;13/09/2017 ;09:10:19
14004155;AROMES POUDRES FRAISE  ADEL 15;33.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;10,5;10,5;13/09/2017 ;09:10:56
14003894;SEMOULE DE MAIS SANS GLUTEN 1K;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;89,71;89,71;13/09/2017 ;09:12:02
14009451;FARINE SUP SAFINA 5 KG        ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;220;220;13/09/2017 ;09:12:30
14000744;COUSCOUS BLE NATUREL          ;2.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;105;105;13/09/2017 ;09:13:29
14004180;SKOR 1K                       ;3.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;84;84;13/09/2017 ;09:13:57
14003383;SACHET CARRE 1KG  CHAMSI      ;4.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;16,05;16,05;13/09/2017 ;09:14:18
14000226;HARICOT BLANC 1KG             ;2.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;165,13;165,135;13/09/2017 ;09:15:11
15003462;PLATEAU MOYEN CALIBRE 30PCS   ;1.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;295;326,2195;13/09/2017 ;09:33:19
22000583;AIL EN POUDRE GRANULE         ;0.246;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;1400;1362,8166;13/09/2017 ;10:06:40
15003259;POULPE PRECUIT DECOUPE VRAC   ;12.325;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;966,38;911,9954;13/09/2017 ;11:33:02
24000062;CUISSE DE DINDE SANS OS TRAD  ;10.800;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;540;540;13/09/2017 ;11:33:13
24000044;ESCALOPE DE DINDE LS          ;11.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;650;650;13/09/2017 ;11:33:29
15003282;TRANCHE DE SAUMON G VRAC      ;8.170;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;1193,27;1193,27;13/09/2017 ;11:34:21
