Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
30007950;CLE MOLETTE BNT 6 2509        ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;20/10/2017 ;08:04:03
22000218;CONCOMBRE                     ;5.600;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:20:49
24000153;MERGUEZ SPECIAL ARDIS LS      ;15.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:20:57
24000423;VIANDE DE BOEUF SANS OS       ;11.690;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:21:06
22000113;PERSIL  BOTTE                 ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:21:12
24000044;ESCALOPE DE DINDE LS          ;13.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:21:20
14003073;MOUTARDE BORNIER 850 GRS      ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:21:34
14017192;HUILE VEGETALE DORYA 5L       ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:21:46
14003133;TOMASAUCE 1L x 12 jumbo       ;8.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:22:00
14013779;POIS CHICHE VERRE BONO 345G   ;8.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:22:24
14013075;RIZ BASMATI ETUVE TRP SUP 1KG ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:22:38
15002835;PETIT POIS PINGUIN 1KG        ;3.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:22:56
31001938;VILEDA gants ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;20/10/2017 ;14:15:17
31017443;CAISSETTE N 12 15             ;9.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;20/10/2017 ;14:15:39
22000839;Olives denoyautees coupees    ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:20:41
22000092;TOMATE RONDE 55/65            ;75.484;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;11:20:33
30007935;TOURNEVIS BNT 6 150  5192     ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;20/10/2017 ;08:04:13
22000598;RAISINS SEC JAUNE GROS CALIBRE;5.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:16:27
22000437;ANIS VERT G                   ;1.550;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:16:37
22000744;BANANE                        ;0.400;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:16:46
22000311;KIWI IMP 1C                   ;0.608;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:16:59
22000839;Olives denoyautees coupees    ;5.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:17:11
14003391;LAIT EN POUDRE MILGRO 500GM   ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:17:46
14017192;HUILE VEGETALE DORYA 5L       ;6.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:18:07
14003377;SACHET CARRE 1KG              ;15.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:18:32
14014717;SUCRE GLACE EL MORDJANE 700G  ;24.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:18:50
15001611;MARGARINE FLEURIAL 250 G  PLAQ;36.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;10:22:43
14017192;HUILE VEGETALE DORYA 5L       ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;10:37:55
22000092;TOMATE RONDE 55/65            ;11.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;20/10/2017 ;10:38:06
15001611;MARGARINE FLEURIAL 250 G  PLAQ;40.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;20/10/2017 ;14:18:59
