Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14013726;LAIT PDRE SAC THIKA 28 % 500G ;16.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;09:41:33
24000121;VIANDE DE VEAU SANS OS LS     ;1.312;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:07:10
24000009;ESCALOPE POULET TRAD          ;25.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:07:30
24000038;POULET ENTIER LS              ;10.160;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:07:50
15001410;filet de sole (panga) vrac    ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:08:21
22000092;TOMATE RONDE 55/65            ;10.800;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:08:54
22000830;Olives noires                 ;0.174;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:09:36
22000414;POIVRON JAUNE                 ;0.292;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:09:57
22000744;BANANE                        ;1.122;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:10:19
22000200;RAISIN ROUGE LOCAL            ;5.250;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;10:10:47
22000227;POMME JAUNE LOCAL             ;5.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;10:11:06
22000293;POMME ROUGR 80                ;3.090;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;10:11:29
22000175;POIRE SANTA MARIA LOCAL       ;0.290;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;10:11:44
22000311;KIWI IMP 1C                   ;0.386;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;10:12:01
22000114;POMME VERTE LOCAL             ;10.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;10:12:23
23000837;FARINE PANIFIABLE 50 KGS      ;1.000;BOULANGERIE / PATISSERIE      ;23;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:15:43
35002236;TAPIS CM1234                  ;1.000;AUTO                          ;35;MOYENS GENERAUX ALGER;99;Auto-consommation;OUALI;;;09/08/2018 ;10:28:20
24000004;CUISSE POULET LS              ;25.200;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:06:37
24000062;CUISSE DE DINDE SANS OS TRAD  ;16.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;10:06:14
14009365;SUCRE GLACE EL BAHDJA 700 G   ;16.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;09:42:08
14015423;MAIZENA THIKA 500G            ;20.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;OUALI;;;09/08/2018 ;09:45:43
14001100;VINAIGRETTE A LA MOUTARDE A   ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;09:46:50
14000957;Vinaigre BOUT Plastique 75 Cl ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;09:47:17
14010880;RIZ SUP BASMATI  ETUVE 1KG    ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;OUALI;;;09/08/2018 ;09:48:12
11002806;MIRAPLUS PAPIER ALUMINIUM 200M;2.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;OUALI;;;09/08/2018 ;09:48:56
