Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
22000433;GRAINS DE SESAME BLANC        ;2.500;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:48:16
22000437;ANIS VERT G                   ;1.162;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:48:29
22000943;amandes moulus                ;1.612;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:48:43
22000435;GRAINS DE NIGELLE             ;1.702;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:48:52
22000598;RAISINS SEC JAUNE GROS CALIBRE;5.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:49:00
14004833;vanille 1hg poudre            ;2.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:49:19
14004181;SKOR 5K                       ;20.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:49:48
14011159;LAIT ENT PDRE INST BORJOT 500G;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:50:05
14005627;sucre glace bidon 700gr       ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:50:37
14003383;SACHET CARRE 1KG  CHAMSI      ;15.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:51:18
14002896;huile la belle 5L             ;6.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:53:05
15004633;FLEURIAL 250 GRS BARQUETTE    ;48.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;10:56:57
15004633;FLEURIAL 250 GRS BARQUETTE    ;48.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;11:13:03
23000708;tarte au citron petit model ho;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;11:18:08
10000208;BOISS ROUIBA COCKT 20CL       ;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;11:19:25
15004641;RECHTA TAIBA 1KG              ;3.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;11:30:31
22000744;BANANE                        ;6.230;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:43:16
22000203;POIRE WILLIAMS 75/80 VERTE IM;1.218;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:43:24
22000271;FRAISE 1CAT LOCAL             ;3.416;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:43:37
22001153;ORANGE DE TABLE LOCAL         ;5.635;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:43:49
22000121;POMME ROUGE LOCAL             ;1.654;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:44:10
22000114;POMME VERTE LOCAL             ;3.536;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:44:21
22000175;POIRE SANTA MARIA LOCAL       ;5.014;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:44:32
22000113;PERSIL  BOTTE                 ;10.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:44:59
22000111;THYM  BOTTE                   ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:45:07
24000121;VIANDE DE VEAU SANS OS LS     ;6.810;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:45:17
22000420;CANELLE BATON                 ;0.048;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:45:27
24000009;ESCALOPE POULET TRAD          ;12.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:45:35
22000092;TOMATE RONDE 55/65            ;64.300;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:45:49
24000009;ESCALOPE POULET TRAD          ;7.400;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:46:05
24000009;ESCALOPE POULET TRAD          ;9.040;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:46:13
24000038;POULET ENTIER LS              ;25.800;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:46:50
22000417;CUMIN M                       ;1.742;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:47:06
24000004;CUISSE POULET LS              ;7.485;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:47:15
14008419;POIS CHICHE 530G  MAINGOURD   ;8.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:47:26
22000092;TOMATE RONDE 55/65            ;19.540;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;12:47:39
11001531;INDUSTRIEL 02 ROULEAUX        ;12.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;12:47:48
15001334;MARGARINE BENINA 250GR PAQUET ;13.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;30/11/2017 ;12:48:00
11002806;MIRAPLUS PAPIER ALUMINIUM 200M;2.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;12:48:11
14015221;HUILE D OLIVE SOCOSA 1 L      ;4.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;13:07:41
14002896;huile la belle 5L             ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;13:07:57
14004181;SKOR 5K                       ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;30/11/2017 ;13:08:15
22000584;AMANDE AVEC PEAU              ;0.590;FRUITS ET LEGUMES             ;22;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;14:51:59
20000557;SALADE FROMAGERE              ;2.000;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;14:52:12
20000764;kababe algerois               ;1.600;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;14:52:21
10000798;PET 50 CL COCA COLA           ;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;14:52:45
10000927;EAU MINI NAT BOUCHON SPORT JUN;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;14:53:03
35002874;LIQUIDE DE REFOIDISSEMENT  1L ;5.000;AUTO                          ;35;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;30/11/2017 ;14:53:28
41005700;ASPIRATEUR BS9012             ;1.000;PEM                           ;41;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;08:29:32
23001340;ASSORTIMENT DE 4 TARTES MM    ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;08:50:39
10000202;BOISS ROUIBA ORANG 1L         ;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;08:50:56
31018240;SAC ARDIS                     ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;08:52:37
32023562;BOITE A ARCHIVE EN CARTON ASS ;6.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;09:02:43
32008781;PUNAISE VERTEX v912           ;2.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;09:25:28
31013984;TIGE BROCHETTE BOIS 100 PCS   ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;09:25:41
65003866;RIDEAUX  MANDALA              ;1.000;LINGE DE MAISON               ;65;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;09:27:25
11006292;INCENSE STICKS SARIGAMA 45G   ;1.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;09:27:51
31022296;Bougie ordinaire              ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;29/11/2017 ;09:28:33
