Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14002081;HUILE OLEOR 5L                ;6.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;15:49:23
24000052;LAPIN ENTIER                  ;12.565;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;13/07/2019 ;12:14:23
22000796;POMME R GALA                  ;5.260;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;12:14:05
22000120;POMME VERTE LIGHT             ;2.166;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;12:13:52
22000744;BANANE                        ;1.198;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;12:13:35
22000227;POMME JAUNE 70 75             ;0.986;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;12:13:22
22000311;KIWI IMP 1C                   ;0.104;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;12:13:09
22000796;POMME R GALA                  ;0.212;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;12:12:58
22000552;PIMENT DOUX MAROCAIN          ;0.140;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;13/07/2019 ;12:12:43
22000801;AMANDE EFFILEE AU KG          ;0.152;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;13/07/2019 ;12:12:27
24000121;VIANDE DE VEAU SANS OS        ;13.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;13/07/2019 ;12:12:03
15005090;ELNADER CREV SS TET 41 50 500G;14.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;13/07/2019 ;12:11:51
15005088;ELNADER CALAMAR TUBE NETT 1KG ;5.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;13/07/2019 ;12:11:19
