Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
24000004;CUISSE POULET LS              ;16.120;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;14:59:09
14004891;VOTOM DEMI PECHE  820GR       ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:51:17
14005627;SUCRE GLACE NOUNOURS 700G     ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:51:02
22000433;GRAINS DE SESAME BLANC        ;1.120;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:50:29
22000455;CURRY                         ;1.010;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:32:29
22000424;RAS EL HANOUT                 ;1.004;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:32:02
22000417;CUMIN M                       ;1.062;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:31:45
22000416;POIVRE NOIR GRAIN             ;1.062;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:31:32
22000583;AIL EN POUDRE GRANULE         ;1.024;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:31:18
14015199;RIZ BASMATI ETUVE BANNO 1KG   ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:30:28
14013713;THON HUILE FRANCISCO 1,7KG    ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:30:12
14019980;ANANAS BELLAMARIA 565G        ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:51:28
14003527;SEMOULE MOYENNE SIM 2KG       ;24.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:52:12
24000302;ABAT DE POULET                ;3.452;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;14:58:47
24000153;MERGUEZ SPECIAL ARDIS         ;8.150;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;14:58:28
21000017;MERLAN                        ;2.760;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;14:58:10
24000009;ESCALOPE POULET TRAD          ;15.100;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;14:57:55
24000009;ESCALOPE POULET TRAD          ;15.100;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;14:57:13
22000839;OLIVES DENOYAUTEES COUPEES    ;12.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:56:58
22000837;DERSSA HARISSA                ;8.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:56:45
21000047;RASCASSE ROUGE                ;0.675;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;14:56:32
14002871;SEL RAFINE EKOSEL 1KG         ;15.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:52:51
14020087;LAIT EN POUDRE SAC LOVELY 500G;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;10/12/2019 ;14:52:27
14010577;MAIS PRINCE 2KG               ;4.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:29:44
14019954;THON HUILE FRANCISCO 900 G    ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:29:21
14013331;MAIS PRINCESSE ANNE 800G      ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:29:05
14019739;CHAMPIGNON MRC BLANCHAUD 800G ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:03:56
15000604;FILET DE SOLE PANGAS 1KG      ;5.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:02:56
15002637;CREVETTE ROYALE 41 50 500G    ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:02:03
15005139;ANNEAUX DE CALAMARS 1KG       ;5.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:01:49
15002835;PETIT POIS PINGUIN 1KG        ;2.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:01:21
15004553;CREME FRAICHE 1L              ;0.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:00:58
15004553;CREME FRAICHE 1L              ;6.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;11:57:49
14015222;HUILE OLIV PLASTIQUE SOCOSA 1L;8.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;11:57:30
14002081;HUILE OLEOR 5L                ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;11:56:40
14002871;SEL RAFINE EKOSEL 1KG         ;15.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;11:56:25
20000884;GRATIN DE POULET              ;0.145;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:19:24
20000424;PATE DE VOLAILLE 2KG          ;0.102;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:19:48
14004181;SUCRE BLANC SKOR 5KG          ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:28:43
14010831;SEMOULE GROSSE MAMA 2KG       ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:28:12
24000121;VIANDE DE VEAU SANS OS        ;9.400;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;12:27:26
20000751;SAUCISSON EN SAUCE            ;0.045;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:26:03
23000722;ASSORTIMENT DE  2 PATISSERIES ;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:25:32
20001069;BLANC POULET FARCIE SPEC ARDIS;0.040;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:25:18
20000886;ESCALOUPE GRILLE              ;0.060;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:24:59
31019012;ROULEAUX ALUMINIUM  200M      ;4.000;CONFORT DE LA MAISON          ;31;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:24:00
20000752;ABATS  DE POULET              ;0.120;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:21:22
24000321;BOYAUX 18 20 18 KG            ;1.000;BOUCHERIE / VOLAILLE          ;24;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;10/12/2019 ;12:20:40
14019456;RIZ BASMATI AHMED 1KG         ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;10/12/2019 ;11:55:40
