Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14012651;RIZ BASMATI ETUI THIKA 500G   ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:25:53
32015356;BOITE DARCHIVES PERSONNALISAB;3.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;;;27/11/2018 ;12:07:41
32025919;POCHETTE PLASTE V 8749        ;3.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;;;27/11/2018 ;12:07:15
32013712;POST-IT 125 x 75 mm FLAMINGO  ;2.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;RASSOULI;;;27/11/2018 ;12:06:54
22000843;Anchois                       ;0.448;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;11:02:48
14018553;TRIP THON HUILE  ELMARSA 65GRS;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;11:02:33
22000218;CONCOMBRE                     ;2.672;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:31:05
22000128;SALADE LAITUE                 ;8.500;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:30:24
22000113;PERSIL  BOTTE                 ;10.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:30:02
24000004;CUISSE POULET LS              ;21.300;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:29:28
24000038;POULET ENTIER LS              ;10.830;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:29:16
24000153;MERGUEZ SPECIAL ARDIS LS      ;9.600;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:28:49
15005100;ELNADER ANNEAUX DE CALAMAR 500;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:28:07
15005090;ELNADER CREVETTES ROYAL 31/40 ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:27:42
15005154;ANCAVICO MERLAN 1K            ;8.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:27:28
14011131;CHAMPIGNON COUPE GOLDEN L 400G;36.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:26:23
14001100;VINAIGRETTE A LA MOUTARDE A   ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;10:26:09
14011999;HARICOTS VERTS PRINCESSE 400G ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;27/11/2018 ;12:08:08
