Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
15002220;Fleurial Barquette 500g       ;80.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;18/03/2018 ;12:36:51
22000839;Olives denoyautees coupees    ;12.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:16:24
22000128;SALADE LAITUE                 ;0.462;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:16:09
22000952;COURGETTE VERTE               ;0.650;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:15:55
21000148;GROS LOUP DE MER              ;6.040;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:15:14
21000148;GROS LOUP DE MER              ;5.020;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:15:01
21000017;MERLAN                        ;6.430;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:14:46
21000028;SEPIA                         ;4.100;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:14:27
21000007;CREVETTE ROUGE ROYALE         ;9.800;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:14:08
22000113;PERSIL  BOTTE                 ;3.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:13:43
22000092;TOMATE RONDE 55/65            ;0.448;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;18/03/2018 ;12:13:29
