Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;DATE;HEURE
30001338;D 030 MONOBLOC 6P/INT/C3M     ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;28/02/2018 ;13:54:29
30006405;CADENAS SMTOP 1150            ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;28/02/2018 ;13:48:27
32012948;REGISTRE  -  5 Mains  70 gr   ;1.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;28/02/2018 ;13:46:52
11004468;L.SOL OCEDAR 300ML            ;1.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:41:05
10003264;ROUIBA FRUIT ROUGE 33CL PET   ;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:47:53
23000873;TARTE VARIEE BEUREE X 2       ;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:48:05
23000722;ASSORTIMENT DE  2 PATISSERIES ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:52:35
31023600;PACK NETTOYAGE(MAN+RACLE+SERP);1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:53:30
31011357;Manche ECO 125 cm             ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:53:40
31012112;Balais grand model XL         ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:54:13
11001796;LAVE VITRE AIGLE 500ML        ;50.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:55:00
31017656;SER EXTRA CLEN 170GR          ;50.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;26/02/2018 ;11:55:26
10002167;BOIS ORANG CAROT CITRON33CLPET;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;25/02/2018 ;11:37:06
23000722;ASSORTIMENT DE  2 PATISSERIES ;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;25/02/2018 ;11:36:53
31000818;CHAMEX SOFTY X3               ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;22/02/2018 ;11:19:20
10002682;EAU MINERALE SAIDA 50CL F12   ;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;22/02/2018 ;09:35:53
23001226;CROISSANT 50 GRS*5            ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;22/02/2018 ;09:36:12
23001369;ASSORTIMENT DE 3 TARTES       ;5.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;22/02/2018 ;11:23:57
23000376;CHAUSSON AU POMME             ;5.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;22/02/2018 ;11:24:09
30006460;CLE MALE DOUBLE 5             ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;22/02/2018 ;11:25:22
11004276;FAMILIA ESSUIE TOUT 3+1*6     ;1.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;09:53:59
23001226;CROISSANT 50 GRS*5            ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;09:53:37
10002349;BOISSON ORANGE-PECHE 2L       ;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;09:52:17
23000873;TARTE VARIEE BEUREE X 2       ;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;09:54:12
10002167;BOIS ORANG CAROT CITRON33CLPET;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;09:54:30
10001356;Guedila 1,5L                  ;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;10:27:29
10000945;FARDEAU.EAU MINER NAT 50 CL   ;24.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;09:52:00
30007933;TOURNEVIS ELEC  JEUX 4 PS 5226;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;14:55:37
14002206;NESCAFE CLASSIC JAR (12*100G) ;1.000;EPICERIE                      ;14;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/02/2018 ;12:15:21
23001226;CROISSANT 50 GRS*5            ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;20/02/2018 ;09:43:55
10001528;EAU MINERAL ALMA 0,5L         ;24.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;20/02/2018 ;09:39:34
10002161;BOIS ORANG CAROT CITRON 2L PET;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;20/02/2018 ;09:40:09
31010135;EPLUCHEUR DECO.SPEDY 242725   ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;20/02/2018 ;11:15:57
11001531;INDUSTRIEL 02 ROULEAUX        ;6.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;20/02/2018 ;11:02:11
23001227;PAIN AU CHOCOLAT 50 GR*5      ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;20/02/2018 ;09:43:40
23001227;PAIN AU CHOCOLAT 50 GR*5      ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;08:43:37
10002167;BOIS ORANG CAROT CITRON33CLPET;2.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;14:05:26
10001528;EAU MINERAL ALMA 0,5L         ;24.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;08:42:52
11001825;Desodorisant  LOrage  Petales;1.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;15:15:55
23000873;TARTE VARIEE BEUREE X 2       ;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;15:13:54
10003006;EAU MINERALE NGAOUES 50 CL    ;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;14:06:49
10000927;EAU MINI NAT BOUCHON SPORT JUN;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;12:32:22
10000798;PET 50 CL COCA COLA           ;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;12:32:47
23001167;DEJEUNETTE                    ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;12:33:07
20000557;SALADE FROMAGERE              ;1.000;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;12:33:26
20000749;riz  espagnol                 ;0.422;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;12:33:45
20000736;Cuisse de Dinde               ;0.330;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;12:33:59
23001226;CROISSANT 50 GRS*5            ;2.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;19/02/2018 ;08:43:25
