Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
11006804;ESSUIE TOUT LA STAR MAXI 720F ;12.000;DROGUERIE                     ;11;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:47:41
24000062;CUISSE DE DINDE SANS OS LS    ;6.405;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:56:18
24000038;POULET ENTIER LS              ;40.795;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:56:34
24000121;VIANDE DE VEAU SANS OS        ;2.020;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:56:48
22000113;PERSIL  BOTTE                 ;8.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:59:53
22000598;RAISINS SEC JAUNE IRAN        ;5.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;14:24:04
15003466;PLATEAU DE 6PCS               ;1.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;14:26:44
15003464;PLATEAU DE 15PCS              ;4.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;14:26:55
15004233;UFS CLAIRE BLANC 10 PCS       ;1.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;14:27:08
15004234;UFS CLAIRE BLANC 30 PCS       ;3.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;14:27:19
24000062;CUISSE DE DINDE SANS OS LS    ;13.340;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:56:02
15001410;FILLET DE SOLE FOOD PART VRAC ;2.480;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:55:46
11005151;ARDIS ESSUIE TOUT 2           ;1.000;DROGUERIE                     ;11;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:48:10
11005957;ESSUIE-TOUT COTEX PLUS 4R+2 R ;1.000;DROGUERIE                     ;11;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:48:32
14005627;SUCRE GLACE NOUNOURS 700G     ;40.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:50:40
14010571;ANANAS GOLDEN SMILE 1KG       ;25.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:51:32
14015518;PECHE COUPEE SIROP DYLIA820G  ;20.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:52:58
14002081;HUILE OLEOR 5L                ;6.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:53:37
22000433;GRAINS DE SESAME BLANC        ;0.914;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;13:54:19
14013778;POIS CHICHE VERRE BONO 570G   ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:54:37
14013075;RIZ BASMATI ETUVE TRP SUP 1KG ;4.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;21/05/2019 ;13:55:22
15003615;OEUFS COCO RICO 30PCS         ;5.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;CHERGUI;;;21/05/2019 ;14:27:31
