Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;DATE;HEURE
22000167;RAISIN RED GLOBE LOCAL        ;4.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;08:58:07
22000854;CACAHEUTE CARAMELISEE         ;5.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;12:42:34
22001153;ORANGE DE TABLE LOCAL         ;0.844;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;12:42:19
15004633;FLEURIAL 250 GRS BARQUETTE    ;24.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:27:42
22000839;Olives denoyautees coupees    ;12.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:27:17
14017192;HUILE VEGETALE DORYA 5L       ;6.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:21:59
14004833;vanille 1hg poudre            ;2.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:21:37
14003383;SACHET CARRE 1KG  CHAMSI      ;30.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:21:08
14003391;LAIT EN POUDRE MILGRO 500GM   ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:20:31
14012430;NOIX DE COCO ADEL 80G         ;24.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:19:50
14012829;LEVURE CHIMIQUE NOVA 10G      ;500.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:19:31
15001051;MARGARINE VEGETALE            ;10.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;10:18:46
22001153;ORANGE DE TABLE LOCAL         ;4.500;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;08:58:42
22000175;POIRE SANTA MARIA LOCAL       ;13.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;08:58:33
22000271;FRAISE 1CAT LOCAL             ;0.900;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;08:58:24
22000311;KIWI IMP 1C                   ;0.660;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;08:58:16
15001611;MARGARINE FLEURIAL 250 G  PLAQ;40.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;14/12/2017 ;16:42:28
