Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
24000009;ESCALOPE POULET TRAD          ;10.350;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:29:48
14010880;RIZ SUP BASMATI  ETUVE 1KG    ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:38:17
15005102;PETIT POIS TOP QUALITE NADER 1;2.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:37:16
14004180;SUCRE BLANC SKOR 1KG          ;100.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:36:58
15005139;ANNEAUX DE CALAMARS 1KG       ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:36:45
14013071;SEMOULE MOYENNE FARELLA 1KG   ;40.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:36:25
22000092;TOMATE RONDE 55 65            ;11.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:35:27
22000090;CAROTTE                       ;6.480;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:34:21
22000139;CITRON VERT LOCAL             ;3.146;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:33:51
15001410;FILLET DE SOLE FOOD PART VRAC ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:33:31
15003259;ANCAVICO POULP PREC DECOU VRAC;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:33:10
24000044;ESCALOPE DE DINDE LS          ;10.030;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:32:48
24000004;CUISSE POULET LS              ;29.426;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:32:34
24000153;MERGUEZ SPECIAL ARDIS         ;4.358;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:32:13
24000153;MERGUEZ SPECIAL ARDIS         ;3.620;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:31:54
24000062;CUISSE DE DINDE SANS OS LS    ;11.425;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:31:40
24000038;POULET ENTIER LS              ;11.985;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:31:26
24000038;POULET ENTIER LS              ;8.065;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:30:01
14002896;HUILE DE SOJA LA BELLE 5L     ;8.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;17/02/2019 ;15:39:05
