Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14018906;SUCRE CRISTALISE LABELLE 1 KG ;50.000;EPICERIE                      ;14;;;Cession interne;RASSOULI;;;12/12/2018 ;12:11:59
22000092;TOMATE RONDE 55/65            ;56.800;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:19:39
22000830;Olives noires                 ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:20:43
22000073;POIVRON VERT                  ;0.726;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:21:11
15005088;ELNADER CALAMA TUBE 1KG       ;1.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:21:47
15005091;ELNADER CREVETTE 400G         ;2.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:22:04
14015698;LASAGNE ETUIT BENAMOR 500G    ;3.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:22:24
22000092;TOMATE RONDE 55/65            ;3.024;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:30:51
22000090;CAROTTE                       ;2.406;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:31:35
22000218;CONCOMBRE                     ;1.010;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:32:13
22000128;SALADE LAITUE                 ;4.700;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:17:53
22000111;THYM  BOTTE                   ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:17:04
14000139;OLIVE 75 CL VINAIGRE          ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:12:40
14002081;HUILE OLEOR 5L               ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:13:04
24000153;MERGUEZ SPECIAL ARDIS LS      ;8.295;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:14:41
24000004;CUISSE POULET LS              ;20.300;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:14:54
24000038;POULET ENTIER LS              ;38.320;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:15:19
24000044;ESCALOPE DE DINDE LS          ;14.003;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:15:37
24000062;CUISSE DE DINDE SANS OS TRAD  ;14.561;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:16:28
22000113;PERSIL  BOTTE                 ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:16:43
22000107;CORIANDRE  BOTTE              ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:16:52
22000092;TOMATE RONDE 55/65            ;0.862;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;12/12/2018 ;12:32:44
