Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
22000443;FENOUIL G                     ;25.000;FRUITS ET LEGUMES             ;22;BOUCHERIE VOLLAILLE;24;Cession interne;CHERGUI;;;26/03/2019 ;15:14:13
10000269;EMN IFRI PET 50CL             ;4.000;BOISSONS                      ;10;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:01:24
10003627;MIRINDA CITRON PET 33CL       ;4.000;BOISSONS                      ;10;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:00:42
20000557;SALADE MEDITERRANEENNE        ;4.000;CHARCUTERIE/TRAITEUR          ;20;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;13:00:09
20000889;REPAS COMMANDE                ;4.000;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;12:59:59
22000843;ANCHOIS                       ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;12:20:25
24000121;VIANDE DE VEAU SANS OS        ;18.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;12:18:29
15004134;CREVETTE 20 40 500G           ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:33:45
15005139;ANNEAUX DE CALAMARS 1KG       ;6.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:33:25
31029511;VISCOSE GERMANY SUPER 220G    ;5.000;CONFORT DE LA MAISON          ;31;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;11:31:34
22000661;CORNICHONS                    ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:26:15
22000107;CORIANDRE  BOTTE              ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:25:52
22000107;CORIANDRE  BOTTE              ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:25:27
22000111;THYM  BOTTE                   ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:24:55
23000508;BAGUETTE SPECIAL              ;3.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:01:36
35003102;LAVE GLACE 5 L                ;2.000;AUTO                          ;35;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:02:11
22000552;PIMENT DOUX MAROCAIN          ;30.000;FRUITS ET LEGUMES             ;22;BOUCHERIE VOLLAILLE;24;Cession interne;CHERGUI;;;26/03/2019 ;15:13:55
22000415;POIVRE NOIR MOULU             ;10.000;FRUITS ET LEGUMES             ;22;BOUCHERIE VOLLAILLE;24;Cession interne;CHERGUI;;;26/03/2019 ;15:13:44
22000583;AIL EN POUDRE GRANULE         ;20.000;FRUITS ET LEGUMES             ;22;BOUCHERIE VOLLAILLE;24;Cession interne;CHERGUI;;;26/03/2019 ;15:13:27
22000417;CUMIN M                       ;10.000;FRUITS ET LEGUMES             ;22;BOUCHERIE VOLLAILLE;24;Cession interne;CHERGUI;;;26/03/2019 ;15:13:16
22000424;RAS EL HANOUT                 ;20.000;FRUITS ET LEGUMES             ;22;BOUCHERIE VOLLAILLE;24;Cession interne;CHERGUI;;;26/03/2019 ;15:12:58
32013713;POST IT 75 X 75 MM            ;10.000;CULTURE-PAPETRIE              ;32;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:07:45
32022583;STYLO A BILLE 1.0 MM NOIR     ;50.000;CULTURE-PAPETRIE              ;32;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:07:21
32013782;STYLO CORRECTEUR TETE         ;24.000;CULTURE-PAPETRIE              ;32;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:06:48
32023938;CRAYON NOIR AVEC GOMME HB.DELI;12.000;CULTURE-PAPETRIE              ;32;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:05:21
32025937;AGRAFEUSE VERX V 1857         ;4.000;CULTURE-PAPETRIE              ;32;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:03:54
32029094;PORTE DOC GLOSSY  VERTEX 50P  ;20.000;CULTURE-PAPETRIE              ;32;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:03:36
35003182;PEUX CHAMOIS BOITE  GM VOITURE;1.000;AUTO                          ;35;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:03:25
35003205;EPONGE PEAU CHAMOIS DEMISTER  ;1.000;AUTO                          ;35;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;13:02:51
22000092;TOMATE RONDE 55 65            ;25.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:24:35
22000219;AUBERGINE                     ;12.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:24:10
22000128;SALADE LAITUE                 ;12.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:23:40
22000139;CITRON VERT LOCAL             ;19.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;26/03/2019 ;10:51:48
22000224;POMME DE TERRE                ;2.640;FRUITS ET LEGUMES             ;22;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:14:03
22000952;COURGETTE VERTE               ;1.440;FRUITS ET LEGUMES             ;22;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:13:34
14015697;COUSCOUS MOYEN BENAMOR 5KG    ;1.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:12:39
10000275;EMN IFRI PET 150CL            ;12.000;BOISSONS                      ;10;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:12:29
14004184;ELIO 5L                       ;1.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:11:15
14016793;DC TOMATE JUMBO 800G          ;1.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:11:00
14002100;LAIT EN POUDRE SACHET LOYA 1KG;1.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:10:03
14004181;SUCRE BLANC SKOR 5KG          ;1.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:09:41
14004195;MEDINA 500G                   ;1.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:08:55
14003383;SEL DE CUISINE CHEMS 1KG      ;1.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:08:36
14000657;THE VERT DE CHINE CHAMEAU 85G ;3.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:08:28
14018339;CAFE OSCAR 250 G              ;2.000;EPICERIE                      ;14;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;26/03/2019 ;10:08:04
22000189;FRAISE 1ER CHOIX              ;4.950;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;26/03/2019 ;10:52:57
24000038;POULET ENTIER LS              ;18.095;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;10:53:35
14003133;TOMASAUCE JUMBO  1L           ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:18:10
14010019;RIZ BASMATI  BORJOT 1KG       ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:17:57
14002315;HUILE D OLIVE PRESIDENT 750ML ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:08:23
14011278;SPLASH LAIT THIKA 500G        ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:07:54
15003644;PAIN BURGER GEANT PANINO 270G ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:07:15
15000500;PAIN DEMIE PANINO 350G        ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;26/03/2019 ;11:06:50
