Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
22000271;FRAISE 1CAT LOCAL             ;0.470;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:48:07
15005089;ELNADER CREV SS TET 31 40 500G;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:52:08
15005100;ELNADER CALAMAR ANNEAUX 500G  ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:52:18
15004904;CREME FRAICHE LIQUIDE 90CL    ;15.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:52:35
10000054;PEPSI PET 1L                  ;30.000;BOISSONS                      ;10;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:52:55
24000038;POULET ENTIER LS              ;19.650;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:54:02
24000004;CUISSE POULET LS              ;20.600;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:54:19
24000062;CUISSE DE DINDE SANS OS LS    ;9.930;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:54:40
24000044;ESCALOPE DE DINDE LS          ;16.600;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:55:07
14005468;LAIT THIKA  500G 28 %         ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:51:30
14002081;HUILE OLEOR 5L                ;4.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:51:17
14003383;SEL DE CUISINE CHEMS 1KG      ;15.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:48:34
14013446;ANNANAS TRANCHE DYLIA 850G    ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:48:48
14018965;PECHE AUX SIROP REGIS OLUS 1KG;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:49:15
14005468;LAIT THIKA  500G 28 %         ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:49:40
22000435;GRAINS DE NIGELLE             ;1.208;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:49:51
22000598;RAISINS SEC JAUNE IRAN        ;1.044;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;16/03/2019 ;10:50:05
22000090;CAROTTE                       ;2.772;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:50:21
22000090;CAROTTE                       ;1.618;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;10:50:45
15005131;SEMELLE SURG AU KG            ;3.640;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;16/03/2019 ;11:06:22
