Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
11006390;LAVE GLACE 1L                 ;4.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;CHERGUI;;;12/08/2018 ;11:16:31
15004553;CREME FRAICHE                 ;6.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:12:33
14000953;Vinaigre BOUT Plastique 75 Cl ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:12:58
15002251;ANNEAU DE CALAMAR 1KG         ;12.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:13:40
15000604;FILET DE SOLE (PONGA) 120 ML  ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:14:05
21000109;FILET SAUMON 1/2 KG           ;0.830;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:14:34
21000027;CALAMAR                       ;2.200;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:15:01
24000038;POULET ENTIER LS              ;8.415;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:15:24
24000044;ESCALOPE DE DINDE LS          ;14.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:15:38
15004227;CREME FRAICHE LIQUIDE 450ML   ;1.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:11:55
15002570;CREME FRAICHE 1L              ;4.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:11:45
31013804;CHAMOISINE   SUPER  GEANT     ;5.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;CHERGUI;;;12/08/2018 ;11:17:09
31007670;CHIFFON MICROFIBRES  VITRE    ;4.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;CHERGUI;;;12/08/2018 ;11:17:29
30008257;SCOTCH GM  TRANS              ;5.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;CHERGUI;;;12/08/2018 ;11:17:58
24000009;ESCALOPE POULET TRAD          ;0.834;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;14:14:47
22000744;BANANE                        ;0.902;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;12/08/2018 ;14:15:17
22000200;RAISIN ROUGE LOCAL            ;1.464;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;12/08/2018 ;14:15:35
22001267;NECTARINE LOCALE 1 ER CHOIX   ;2.244;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;CHERGUI;;;12/08/2018 ;14:15:53
14015295;ANANAS TRANCHES LOFE 565G     ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;CHERGUI;;;12/08/2018 ;14:16:11
24000062;CUISSE DE DINDE SANS OS TRAD  ;15.150;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;12/08/2018 ;16:15:58
