Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14010723;FARINE BRIOCHE 1KG SIM        ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:57:06
14001651;PRAPARATION C CHANTILLY DE72G ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:25:35
14004135;CREME CHANTILLY               ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:24:31
14008343;NOIX DE COCO                  ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:24:13
14010724;FARINE FEUILLETAGE SIM        ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:24:00
14008198;CHEVEUX DANGE A CARRE 500G    ;2.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:23:42
14013692;PLUME LEGUMES MAHBOUBA 400G   ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:23:22
14006465;Bercoukes ble naturel 1kg     ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:23:02
14015505;COUSCOUS MOYEN SUP 1KG        ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:22:32
14010733;FARINE PIZZA SIM 1KG          ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:22:07
14010808;FARINE SUPERIEURE 1KG MAMA    ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:21:49
14004003;GENOISE EN BOITE ADEL 100G    ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:25:46
14012427;GELATINE FEUILLE ADEL 30G     ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:25:54
14010733;FARINE PIZZA SIM 1KG          ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:56:48
14017179;SEMOULE SUP DICOPA 1KG        ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:56:17
14013963;CHAKHCHOUKHA SANOUBAR 900G    ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:55:32
14002085;huil de table 5L              ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:54:22
14002079;huil de table 2L              ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:54:04
10002306;EAU MINERAL ALMA 5L           ;1.000;BOISSONS                      ;10;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:53:34
10002489;EAU PLATE MOUZAIA 6.5L BIDON  ;9.000;BOISSONS                      ;10;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:28:53
14004181;SKOR 5K                       ;5.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:28:26
14013967;FARINE SUP DICOPA 1KG         ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:27:31
14006154;farine sperieur 1kg           ;3.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:26:44
14017223;SEMOULE MOYENNE EXTRA 1KG     ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:20:56
14008124;LENTILLE 1KG                  ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:20:14
14008825;Lazagne 500gr                 ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:19:50
14001863;COUDE 4 BENAMOR 500GR         ;5.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:08:13
14015916;COUDE 6 DICOPA 500G           ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:07:33
14014166;TAB VEGECA LAIT CHOCODADA 1KG ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:06:58
14004180;SKOR 1K                       ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:06:16
14004181;SKOR 5K                       ;3.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:05:54
14001877;PENNE 6 BENAMOR 500GR         ;6.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:05:31
14015243;SUCRE ROUX SAC SKOR 1KG       ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:04:08
14001413;FARINE SUPERIEURE 01 KG       ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:03:43
14003546;FARINE 1KG                    ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:03:03
14013129;TRIP THON TOM BARLOVENTO 3X65G;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:02:25
14017179;SEMOULE SUP DICOPA 1KG        ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:08:39
14004180;SKOR 1K                       ;5.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:09:52
14004180;SKOR 1K                       ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:19:09
14017481;SPAGHETTI N2 RANDA 500G       ;3.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:18:47
14010815;SPAGUETTI 500G MAMA           ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:18:14
14015276;SUCRE ROUX SAC SKOR 750G      ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:16:40
14015245;SUCRE ROUX MORCEAUX SKOR 750G ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:16:17
14013962;SEMOULE EXTRA FINE SIM 2 KG   ;3.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:15:57
14004181;SKOR 5K                       ;3.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:15:20
14012828;SUCRE VANILLE NOVA X2 5G      ;15.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:11:48
14015320;LANGNESE FOR KIDS 250G        ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;11:11:03
14013961;SEMOULE FINE SIM 2KG          ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:10:29
14003106;THON ISABEL 3X80 T X 30       ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;11:02:05
14003552;RESSORT 500GR                 ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;ELSALGER1;;;23/12/2017 ;11:57:30
14000489;SEMOULE L?AZIZA 4 KG          ;4.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;23/12/2017 ;12:29:53
15001379;BEURRE LURPAK 125 GRS X24     ;1.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;12:23:11
15001379;BEURRE LURPAK 125 GRS X24     ;3.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;12:22:47
15000571;MARGARINE FRUCTA FEUILLET 500G;2.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;12:22:32
15001610;MARGARINE LA PARISIENNE 500 GR;2.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;ELSALGER1;;;23/12/2017 ;12:22:18
