Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14006467;Mermez 500gr                  ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:40:07
14018878;RIZ BASMATI BANNO GOLD 1KG    ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:47:54
14007406;LENTILLE CORAILLE (RED) 1 KG  ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:48:35
14013962;SEMOULE EXTRA FINE SIM 2 KG   ;3.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;31/10/2018 ;14:51:32
14003527;SEMOULE 02 KG                 ;3.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;31/10/2018 ;14:52:19
14017223;SEMOULE MOYENNE EXTRA 1KG     ;3.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;31/10/2018 ;14:53:02
14004180;SKOR 1K                       ;4.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;31/10/2018 ;14:53:29
14018874;SEMOULE PREM MOYEN EXTRA 1KG  ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;31/10/2018 ;14:53:54
14003546;FARINE 1KG                    ;4.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;31/10/2018 ;14:55:05
14014516;FARINE MAAREK SIM 1KG         ;1.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;31/10/2018 ;14:55:29
14001504;RIZ LONG BLANC 1KG            ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:47:33
14006089;LENTILLES 500G                ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:46:45
14018904;FELL BENAMOR   500G           ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:40:38
14008894;Plume 500 Grs                 ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:41:17
14018903;COUSCOUS COMPLET BENAMOR 1KG  ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:41:41
14008888;Petit coude (3) 500 Grs       ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:42:49
14003549;MOYEN COUDE 500GR             ;5.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:43:26
14017467;SPAGHETTI EXTRA 250 G         ;3.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:44:13
14017468;SPAGHETTI EXTRA 1 KG          ;1.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;RASSOULI;;;31/10/2018 ;14:44:40
