Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
22000092;TOMATE RONDE 55/65            ;12.500;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:36:18
22000433;GRAINS DE SESAME BLANC        ;2.538;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;14:42:08
14013196;LAIT EN POUDRE FLORA 500G     ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;14:36:25
14004181;SKOR 5K                       ;10.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;14:35:47
14000314;SUCRE GLACE MONT BLANC 700GR  ;16.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;14:35:11
15005089;ELNADER CREVETTES ROYAL 31/40 ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:42:28
14003383;SACHET CARRE 1KG  CHAMSI      ;15.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:41:37
14018537;MOUTARDE MOLLE 700G           ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:41:00
14000892;RIZ VAPORISE 1KG              ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:40:36
22000293;POMME ROUGR 80                ;0.148;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;10:39:25
22000744;BANANE                        ;2.332;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;10:39:14
22000114;POMME VERTE LOCAL             ;0.510;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;10:38:55
22000796;POMME R GALA 75/80            ;0.126;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;10:38:38
24000009;ESCALOPE POULET TRAD          ;18.200;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:37:36
24000038;POULET ENTIER LS              ;27.760;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:37:17
15001410;filet de sole (panga) vrac    ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:36:47
22000113;PERSIL  BOTTE                 ;10.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;14/11/2018 ;10:36:32
14015295;ANANAS TRANCHES LOFE 565G     ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;RASSOULI;;;14/11/2018 ;14:50:13
