Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;DATE;HEURE
31019012;ROULEAUX ALUMINIUM  200M      ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;08:22:55
23001226;CROISSANT 50 GRS*5            ;3.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;15:45:05
10001810;Cocktail aux fruits PET 200cl ;3.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;15:44:44
10001528;EAU MINERAL ALMA 0,5L         ;12.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;15:44:17
12020406;LINGETTES BEBES BELLO 72 P    ;3.000;PARFUMERIE HYGIENE            ;12;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;15:25:02
11003043;LaveVitre                     ;42.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;15:24:43
31021167;VISCOSE ARIANE 50*70 MADE IN G;100.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;15:24:19
10000805;PET 50 CL SPRITE              ;1.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;13:04:19
23000938;PAIN SPECIAL 30DA             ;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;13:02:52
20000571;SALADE DE RIZ                 ;3.000;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;13:00:55
20000684;Saumon Au Papillote           ;0.200;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;13:00:47
20000557;SALADE FROMAGERE              ;1.000;CHARCUTERIE/TRAITEUR          ;20;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;13:00:38
33014411;ACCUMULATEUR DE FROID T500    ;1.000;LOISIR - JOUETS               ;33;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;09:43:51
33014277;GLACIER 8L BLU/PIS/ORA        ;1.000;LOISIR - JOUETS               ;33;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;09:43:26
30007218;CASINO BP4 AAA 800 NIMH       ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;21/12/2017 ;16:04:01
