Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
30008313;CADENAS CUIVRE N 40           ;1.000;BRICOLAGE                     ;30;MOYENS GENEREAUX;;Cession interne;RASSOULI;;;05/03/2019 ;10:49:42
22000113;PERSIL  BOTTE                 ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:56:12
21000007;CREVETTE ROUGE ROYALE         ;8.000;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:56:31
24000062;CUISSE DE DINDE SANS OS LS    ;13.260;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:56:50
24000044;ESCALOPE DE DINDE LS          ;13.355;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:57:07
24000038;POULET ENTIER LS              ;7.840;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:57:35
24000038;POULET ENTIER LS              ;8.770;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:57:52
24000038;POULET ENTIER LS              ;3.906;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:58:16
24000153;MERGUEZ SPECIAL ARDIS         ;9.860;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:58:34
24000009;ESCALOPE POULET TRAD          ;20.145;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:58:49
24000004;CUISSE POULET LS              ;8.165;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:59:03
24000004;CUISSE POULET LS              ;7.185;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:59:17
14009506;RIZ BASMATI ETUVE THIKA 1KG   ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;11:10:47
21000138;COCHON DE MER                 ;0.885;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:55:50
21000040;LOTTE                         ;6.415;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:55:21
22000111;THYM  BOTTE                   ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:54:43
24000009;ESCALOPE POULET TRAD          ;2.514;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:50:01
24000121;VIANDE DE VEAU SANS OS        ;7.555;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:50:22
22000952;COURGETTE VERTE               ;2.206;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:50:44
22000843;ANCHOIS                       ;0.188;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:51:00
15000875;YAOURT NATURE 100G            ;14.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:51:16
14002961;MAYONNAISE LESIEUR 710G       ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:52:01
14003133;TOMASAUCE JUMBO  1L           ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:52:35
14018349;VINAIGRE POMME MAESTRO 75 CL  ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:53:18
15005138;TUBES DE CALAMARS 1KG         ;4.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:53:38
15004291;CREVETTES 41 50   DECORTIQUEE ;8.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:53:51
22000104;AIL SEC LOCAL                 ;2.342;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:54:09
22000092;TOMATE RONDE 55 65            ;14.200;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;RASSOULI;;;05/03/2019 ;10:54:24
22000271;FRAISE 1CAT LOCAL             ;5.134;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;RASSOULI;;;05/03/2019 ;11:11:08
