Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14018177;RIZ ETUVE RAISSA 500G         ;3.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;CHERGUI;;;30/09/2019 ;11:05:54
24000004;CUISSE POULET LS              ;10.465;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:54:41
22000128;SALADE LAITUE                 ;0.336;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:55:24
22000224;POMME DE TERRE                ;1.318;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:55:37
22000866;POIVRON ROUGE LOCAL           ;0.206;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:55:48
22001212;OLIVE NOIR DINOYAUTE          ;0.076;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:55:59
22000664;OIGNON                        ;0.310;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:56:10
22000221;POIVRON ROUGE 4C IMP          ;0.356;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:56:50
22000843;ANCHOIS                       ;0.124;FRUITS ET LEGUMES             ;22;POISSONERIE;21;Cession interne;CHERGUI;;;30/09/2019 ;11:57:04
22000224;POMME DE TERRE                ;2.998;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:57:17
15001611;MARGARINE FLEURIAL 250 G  PLAQ;120.000;P.L.S.                        ;15;BOULANGERIE;23;Cession interne;CHERGUI;;;30/09/2019 ;11:57:59
21000007;CREVETTE ROUGE ROYALE         ;5.200;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:58:15
24000004;CUISSE POULET LS              ;5.764;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:54:23
10004197;PEPSI PET 125CL               ;24.000;BOISSONS                      ;10;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:54:06
14012260;POIS CHICHE ETUI THIKA 500G   ;2.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;CHERGUI;;;30/09/2019 ;11:06:45
14018995;RIZ BASMATI ESSENCE 1KG       ;3.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;CHERGUI;;;30/09/2019 ;11:07:19
14018995;RIZ BASMATI ESSENCE 1KG       ;6.000;EPICERIE                      ;14;FRUITS ET LEGUMES;22;Cession interne;CHERGUI;;;30/09/2019 ;11:08:35
22000167;RAISIN RED GLOBE LOCAL        ;0.638;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:50:48
22000293;POMME ROUGE 70 75             ;0.822;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:51:03
22000120;POMME VERTE LIGHT             ;0.782;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:51:15
22000200;RAISIN ROUGE LOCAL            ;0.714;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:51:36
22000218;CONCOMBRE                     ;4.520;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;30/09/2019 ;11:51:53
31014630;MICROFIBRE MAISON OKS 4040    ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;30/09/2019 ;11:52:14
