Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14009451;FARINE SUP SAFINA 5 KG        ;138.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;21/09/2017 ;08:46:06
22000111;THYM  BOTTE                   ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:15:39
14012809;CHAMPIGNON MILOU 4K           ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:16:12
22000843;Anchois                       ;10.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;21/09/2017 ;16:16:27
22000839;Olives denoyautees coupees    ;12.000;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;21/09/2017 ;16:16:35
14002081;HUILE OLEOR 5L               ;12.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;21/09/2017 ;16:17:02
14003377;SACHET CARRE 1KG              ;30.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;21/09/2017 ;16:17:14
24000044;ESCALOPE DE DINDE LS          ;32.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:21:15
24000004;CUISSE POULET LS              ;27.450;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:21:27
24000009;ESCALOPE POULET TRAD          ;27.300;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:21:35
22000115;LAURIER   BOTTE               ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:15:32
24000423;VIANDE DE BOEUF SANS OS       ;8.545;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:15:25
21000062;DORADE ROYALE 3/400 G         ;4.000;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:15:13
14000126;CAFE SOLUBLE DE 165GRS        ;1.000;EPICERIE                      ;14;MOYENS GENERAUX ORAN;98;Auto-consommation inter-magasin;ELSALGER1;;;21/09/2017 ;09:43:21
14017017;THE ELEPHANTO LEMON HONEY X25 ;1.000;EPICERIE                      ;14;MOYENS GENERAUX ORAN;98;Auto-consommation inter-magasin;ELSALGER1;;;21/09/2017 ;09:43:34
14017019;THE ELEPHANTO COCKT FRUIT X25 ;1.000;EPICERIE                      ;14;MOYENS GENERAUX ORAN;98;Auto-consommation inter-magasin;ELSALGER1;;;21/09/2017 ;09:43:42
10001810;Cocktail aux fruits PET 200cl ;2.000;BOISSONS                      ;10;MOYENS GENERAUX ORAN;98;Auto-consommation inter-magasin;ELSALGER1;;;21/09/2017 ;09:43:52
10002932;EAU MINERALE SOUMMAM 60 CL    ;12.000;BOISSONS                      ;10;MOYENS GENERAUX ORAN;98;Auto-consommation inter-magasin;ELSALGER1;;;21/09/2017 ;09:44:08
22000128;SALADE LAITUE                 ;13.646;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:14:32
22000664;OIGNON                        ;23.654;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:14:41
22000113;PERSIL  BOTTE                 ;4.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:14:50
22000073;POIVRON VERT                  ;10.030;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:15:00
24000153;MERGUEZ SPECIAL ARDIS LS      ;11.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;21/09/2017 ;16:21:48
