Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
32029783;STYLO BILLE SWING BLEU 4965   ;50.000;CULTURE-PAPETRIE              ;32;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;14:23:55
14003908;HUIL OLIV EX VIERG NUMIDIA 50C;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:54:19
24000038;POULET ENTIER LS              ;85.115;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:53:26
24000081;GIGOT D AGNEAU LS             ;7.335;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:53:14
22001077;BRIYANI MASALA                ;0.060;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:53:00
24000132;BIFTECK DE VEAU LS            ;0.246;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:52:35
14001412;SEMOULE MOYENNE SAFINA 1KG    ;30.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:52:13
14002085;HUILE AFIA 5L                 ;4.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:52:01
22000428;SAFRAN 1ER CHOIX              ;0.788;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:51:45
14019660;SAUCE VIN CRUDIT FLEURIAL500ML;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:54:43
22000428;SAFRAN 1ER CHOIX              ;5.024;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:55:22
32012566;RAME DE PAPIER VERTEX A4 80G  ;50.000;CULTURE-PAPETRIE              ;32;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;18/08/2019 ;14:22:21
22000128;SALADE LAITUE                 ;4.668;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;14:03:46
22000113;PERSIL  BOTTE                 ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:58:00
22000107;CORIANDRE  BOTTE              ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:57:43
22000552;PIMENT DOUX MAROCAIN          ;4.562;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:57:32
22000424;RAS EL HANOUT                 ;5.130;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:57:20
22000415;POIVRE NOIR MOULU             ;5.302;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:56:45
22000111;THYM  BOTTE                   ;5.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:55:32
22000092;TOMATE RONDE 55 65            ;3.046;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:51:34
14019321;RIZ BASMATI PREM RICE AURA5KG ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:51:07
15005089;ELNADER CREV SS TET 31 40 500G;8.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:50:30
14005236;MAIS PRINCESSE 400G           ;60.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:35:01
14019739;CHAMPIGNON MORCE BLANCHAUD1KG ;24.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:34:42
15005340;HARICOT VERT JV ELNADER 1KG   ;2.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:34:30
15005102;PETIT POIS TOP QUALITE NADER 1;2.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:34:12
14016177;DC TOMATE LABELLE 800G        ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:34:01
15004553;CREME FRAICHE 1L              ;12.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:33:46
14014577;LAIT POUDRE CHEFA SAC 500G    ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:33:32
14002081;HUILE OLEOR 5L                ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:33:21
31018582;CUILLERE GF                   ;10.000;CONFORT DE LA MAISON          ;31;MOYENS GENEREAUX;;Cession interne;CHERGUI;;;18/08/2019 ;12:43:14
14003014;LAURIE30G                     ;2.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:46:54
15005100;ELNADER CALAMAR ANNEAUX 500G  ;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:50:17
22000437;ANIS VERT G                   ;0.150;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:49:58
22000417;CUMIN M                       ;0.252;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:49:36
22000443;FENOUIL G                     ;0.150;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:49:06
22000424;RAS EL HANOUT                 ;0.406;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:48:42
22000092;TOMATE RONDE 55 65            ;1.038;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:48:29
22000221;POIVRON ROUGE 4C IMP          ;0.608;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:47:57
22000104;AIL SEC LOCAL                 ;0.614;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;13:47:39
14018907;SUCRE  CRISTALISE DADDY 1 KG  ;100.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;CHERGUI;;;18/08/2019 ;12:33:11
