Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14013726;LAIT PDRE SAC THIKA 28 % 500G ;16.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;14/03/2018 ;10:58:04
11006276;AIR W AEROSOL PURE COTON 250ML;1.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;15:02:56
11006217;AIRWICK ROSEFLEURCERISIER250ML;2.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;15:02:47
11001135;DESODORISANT LORAGE          ;3.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;15:02:36
11004083;DESO JASMIN 300ML             ;3.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;15:02:26
32015348;DATEUR A ENCRAGE MANUEL FRANCA;1.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;14:42:53
22001153;ORANGE DE TABLE LOCAL         ;2.930;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;14/03/2018 ;11:07:26
22000271;FRAISE 1CAT LOCAL             ;5.546;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;14/03/2018 ;11:07:10
31016696;RACLETTE DE VITRE NEW 33CM    ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;11:06:53
31004134;BALAI INDUSTRIELE ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;11:06:43
31012113;Balais petite model Menagere  ;2.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;11:06:21
14002081;HUILE OLEOR 5L               ;4.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;14/03/2018 ;10:58:54
11000254;SPONTEX TIPONGE  X 3  PIECES  ;2.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;14/03/2018 ;15:03:27
